group,source,target,n_source_filtered,n_source_total,F1_burak,AUC_burak,MCC_burak,Gmean_burak,n_features,F1_noadapt,AUC_noadapt,MCC_noadapt,Gmean_noadapt
PROMISE,CM1,JM1,498,498,0.12684031710079274,0.632120438277176,0.06723788189014801,0.2763414008339121,3,0.1268403171007927,0.632120438277176,0.067237881890148,0.2763414008339121
PROMISE,CM1,KC1,494,498,0.09473684210526316,0.5840728213633188,0.08015817953061055,0.23259385323027865,3,0.0664819944598338,0.5924417384362881,0.0676596018051215,0.190617375327034
PROMISE,CM1,KC2,498,498,0.15625,0.7942461434523138,0.13754679070147371,0.30163014672202904,3,0.15625,0.7942461434523138,0.1375467907014737,0.301630146722029
PROMISE,CM1,PC1,498,498,0.2125,0.6276489982885332,0.1514920383426913,0.4545983055955192,3,0.2125,0.6276489982885332,0.1514920383426913,0.4545983055955192
PROMISE,JM1,CM1,3025,10885,0.24347826086956523,0.7045588836871051,0.14924653097230242,0.5026180266238384,12,0.25,0.7236943775282941,0.1632196617636715,0.4903968481533057
PROMISE,JM1,KC1,5207,10885,0.2862453531598513,0.7063154399595359,0.19293327022735857,0.4672394398923058,12,0.2758620689655172,0.7362118026762642,0.2049161891179111,0.4438549098257603
PROMISE,JM1,KC2,2570,10885,0.5052631578947369,0.7861051683368991,0.40212127031188677,0.6409091616924101,12,0.4739884393063583,0.822824006305596,0.3922643363741978,0.6000788147762339
PROMISE,JM1,PC1,4767,10885,0.2727272727272727,0.7290785764622973,0.21245348344971166,0.5890242457368298,12,0.2823529411764706,0.7164628007651264,0.2245213762519508,0.5393038903971706
PROMISE,KC1,CM1,931,2109,0.2576271186440678,0.6595836552883959,0.186023453444224,0.6451773451115224,5,0.2293577981651376,0.666287896004727,0.1191981138490766,0.5887063407801397
PROMISE,KC1,JM1,1507,2109,0.30577808079086416,0.5887832668977067,0.08281369902943796,0.5357002981282751,5,0.3130917401240614,0.5703938821890753,0.0873278811040263,0.5446025508117648
PROMISE,KC1,KC2,1209,2109,0.4126984126984127,0.7476973313816012,0.2360324732306061,0.6140640469488567,5,0.4501845018450184,0.7489584506249296,0.2799460881483598,0.6546757845222093
PROMISE,KC1,PC1,1306,2109,0.17,0.6443357998590556,0.10437173357211152,0.5995064918969922,5,0.1854714064914992,0.6688563374609886,0.1449610028051843,0.6278062941528639
PROMISE,KC2,CM1,423,522,0.25316455696202533,0.700695422935321,0.15996391595878812,0.6299207453703476,5,0.2419354838709677,0.683491659470024,0.1434168989935808,0.6179003376234113
PROMISE,KC2,JM1,447,522,0.3705357142857143,0.6121537280268343,0.1843182676397063,0.5919726085294844,5,0.3596852753840389,0.6398781755694085,0.1703557843018309,0.5812651854993075
PROMISE,KC2,KC1,453,522,0.42212518195050946,0.7728117290428691,0.310616037209905,0.6252216780655817,5,0.4268292682926829,0.7368578152902842,0.3212836160678815,0.6194231524202692
PROMISE,KC2,PC1,446,522,0.19230769230769232,0.6718828651968187,0.13255176282896178,0.623279873947891,5,0.1857451403887689,0.667371388301621,0.1206366335287445,0.6106025694635568
PROMISE,PC1,CM1,1007,1109,0.25287356321839083,0.7647606926957865,0.18438963181888413,0.4593369237573218,8,0.247191011235955,0.7581928094177538,0.1752313835372232,0.4582471549058642
PROMISE,PC1,JM1,1088,1109,0.12464589235127478,0.6226513737619787,0.10771804858148097,0.2671458188784612,8,0.1284329563812601,0.6253150459305299,0.1121887481428855,0.2714479606023235
PROMISE,PC1,KC1,1037,1109,0.06111111111111111,0.6821368480089737,0.05982606490542104,0.1825022423474666,8,0.0501392757660167,0.6775476638601102,0.0412073962742023,0.1650325851902169
PROMISE,PC1,KC2,935,1109,0.28368794326241137,0.7885373268776038,0.25059437647538974,0.4249826956875127,8,0.2836879432624113,0.7900011259993244,0.2505943764753897,0.4249826956875127
NASA,MW1,PC3,243,250,0.04316546762589928,0.7404283690307526,0.05923668579645256,0.15141634844322896,12,0.0952380952380952,0.7250937578131512,0.1122682605855265,0.2307872871231388
NASA,MW1,PC4,241,250,0.022099447513812154,0.5948899991690211,0.04756777397020082,0.10645409646952887,12,0.0111111111111111,0.610146252285192,0.0181261090215236,0.0752744134986907
NASA,MW1,MC2,197,250,0.0425531914893617,0.6379261363636364,-0.007077263128741119,0.14885929903466197,12,0.0816326530612244,0.6079545454545454,0.0193476497487973,0.2091650066335189
NASA,PC3,MW1,883,1053,0.4642857142857143,0.7730666666666667,0.4005078525961285,0.6916646586316233,6,0.3714285714285714,0.7733333333333333,0.294994883567367,0.6678655886063036
NASA,PC3,PC4,1049,1053,0.27491408934707906,0.7169088623898953,0.19109461226881522,0.4600998511480145,6,0.2394366197183098,0.721640248462689,0.1555008076016444,0.4243991930803507
NASA,PC3,MC2,639,1053,0.15384615384615385,0.6078125,-0.11017269983307673,0.30151134457776363,6,0.1967213114754098,0.623721590909091,-0.0015807831938701,0.3429484456352534
NASA,PC4,MW1,934,1270,0.0,0.5096888888888889,-0.047619047619047616,0.0,4,0.0,0.5052444444444444,-0.0476190476190476,0.0
NASA,PC4,PC3,1203,1270,0.26666666666666666,0.7198058171514293,0.1591367998246875,0.49570200393622804,4,0.2528735632183908,0.7208809067422285,0.147185684905448,0.4763338197374317
NASA,PC4,MC2,722,1270,0.18461538461538463,0.5471590909090909,-0.06523383542747964,0.3328595117244729,4,0.2461538461538461,0.5315340909090909,0.0246438933837145,0.3902213823879046
NASA,MC2,MW1,115,124,0.21052631578947367,0.5841777777777778,0.09595444922044512,0.5087675740890377,16,0.131578947368421,0.5635555555555556,-0.0033087741110498,0.3988873413773757
