group,source,target,n_features,F1,AUC,MCC,Gmean
PROMISE,CM1,JM1,3,0.12684031710079274,0.632120438277176,0.06723788189014801,0.2763414008339121
PROMISE,CM1,KC1,3,0.0664819944598338,0.5924417384362881,0.06765960180512157,0.19061737532703407
PROMISE,CM1,KC2,3,0.15625,0.7942461434523138,0.13754679070147371,0.30163014672202904
PROMISE,CM1,PC1,3,0.2125,0.6276489982885332,0.1514920383426913,0.4545983055955192
PROMISE,JM1,CM1,12,0.25,0.7236943775282941,0.16321966176367156,0.49039684815330575
PROMISE,JM1,KC1,12,0.27586206896551724,0.7362118026762642,0.20491618911791115,0.44385490982576037
PROMISE,JM1,KC2,12,0.47398843930635837,0.822824006305596,0.39226433637419783,0.6000788147762339
PROMISE,JM1,PC1,12,0.2823529411764706,0.7164628007651264,0.22452137625195087,0.5393038903971706
PROMISE,KC1,CM1,5,0.22935779816513763,0.666287896004727,0.1191981138490766,0.5887063407801397
PROMISE,KC1,JM1,5,0.3130917401240614,0.5703938821890753,0.08732788110402633,0.5446025508117648
PROMISE,KC1,KC2,5,0.45018450184501846,0.7489584506249296,0.2799460881483598,0.6546757845222093
PROMISE,KC1,PC1,5,0.18547140649149924,0.6688563374609886,0.14496100280518434,0.6278062941528639
PROMISE,KC2,CM1,5,0.24193548387096775,0.683491659470024,0.14341689899358082,0.6179003376234113
PROMISE,KC2,JM1,5,0.35968527538403894,0.6398781755694085,0.17035578430183096,0.5812651854993075
PROMISE,KC2,KC1,5,0.4268292682926829,0.7368578152902842,0.32128361606788153,0.6194231524202692
PROMISE,KC2,PC1,5,0.1857451403887689,0.667371388301621,0.12063663352874458,0.6106025694635568
PROMISE,PC1,CM1,8,0.24719101123595505,0.7581928094177538,0.17523138353722326,0.4582471549058642
PROMISE,PC1,JM1,8,0.1284329563812601,0.6253150459305299,0.11218874814288558,0.27144796060232357
PROMISE,PC1,KC1,8,0.05013927576601671,0.6775476638601102,0.04120739627420235,0.1650325851902169
PROMISE,PC1,KC2,8,0.28368794326241137,0.7900011259993244,0.25059437647538974,0.4249826956875127
NASA,MW1,PC3,12,0.09523809523809523,0.7250937578131512,0.11226826058552658,0.23078728712313887
NASA,MW1,PC4,12,0.011111111111111112,0.610146252285192,0.018126109021523656,0.07527441349869077
NASA,MW1,MC2,12,0.08163265306122448,0.6079545454545454,0.019347649748797373,0.2091650066335189
NASA,PC3,MW1,6,0.37142857142857144,0.7733333333333333,0.29499488356736703,0.6678655886063036
NASA,PC3,PC4,6,0.23943661971830985,0.721640248462689,0.1555008076016444,0.4243991930803507
NASA,PC3,MC2,6,0.19672131147540983,0.623721590909091,-0.001580783193870143,0.3429484456352534
NASA,PC4,MW1,4,0.0,0.5052444444444444,-0.047619047619047616,0.0
NASA,PC4,PC3,4,0.25287356321839083,0.7208809067422285,0.147185684905448,0.4763338197374317
NASA,PC4,MC2,4,0.24615384615384617,0.5315340909090909,0.024643893383714532,0.3902213823879046
NASA,MC2,MW1,16,0.13157894736842105,0.5635555555555556,-0.0033087741110498317,0.39888734137737575
NASA,MC2,PC3,16,0.2191780821917808,0.5484748729060756,0.07618162800431495,0.4926326121707885
NASA,MC2,PC4,16,0.18181818181818182,0.4538261384410836,0.033191513416381734,0.41248385225317535
