dataset,filter_criterion,F1,AUC,PRAUC,MCC,Gmean,n_features_selected,stage1_time_s
CM1,gini,0.2349805274285078,0.7226573727285338,0.23803844017021542,0.14170669094694233,0.4993542959174347,5.4,4.062
CM1,mutual_info,0.23096800825593392,0.6988088500485504,0.2144743367540039,0.1433517202729574,0.48845121255596335,4.4,3.4436
CM1,shap,0.24735778841041994,0.707568733527535,0.22026016571647977,0.15706357722974493,0.5034500749442048,4.2,4.7682
CM1,variance,0.23301587301587298,0.7337394923012901,0.22529552896094912,0.1461961861492793,0.4978220017017751,3.8,3.3898
KC1,gini,0.4450801478975676,0.8056739377608512,0.4239312700561966,0.33899172651279097,0.6418837861292926,8.0,20.613999999999997
KC1,mutual_info,0.4466474486611786,0.8153512691318376,0.4516242535842851,0.34173977167704883,0.6412586972405036,8.0,19.962799999999998
KC1,shap,0.4334290556623498,0.7962820342248631,0.4190743593650339,0.3235475098325206,0.6356341548002835,6.8,37.8138
KC1,variance,0.45897662548101054,0.8156614920659864,0.4512646818006182,0.35389634079484394,0.6585334033614645,8.0,21.121199999999998
KC2,gini,0.5094700854700854,0.7708079069524852,0.5387695283516765,0.38867679476316136,0.6724928410067308,4.2,3.1794000000000002
KC2,mutual_info,0.4950723394492392,0.7794893861158921,0.5117409846222737,0.3659059397336962,0.6633302557149842,5.2,2.2204
KC2,shap,0.5684458398744112,0.7821624158973556,0.5321828658559218,0.45990475021803345,0.7201068157540417,4.8,3.7573999999999996
KC2,variance,0.4975102137394282,0.7708913576383456,0.5281848012527692,0.36280247085486594,0.670744313557739,5.0,2.4213999999999998
MC2,gini,0.5314425770308123,0.7823784722222222,0.6827195920455725,0.3649099868983875,0.6213996515070945,15.8,4.292
MC2,mutual_info,0.5259405197485693,0.7419270833333333,0.6630908942774886,0.3470233469940487,0.6168615603241003,14.4,3.614
MC2,shap,0.49041230527298635,0.7539930555555555,0.6785960891045975,0.31616684362874603,0.5545883696790002,15.6,4.6274
MC2,variance,0.469047619047619,0.7138020833333334,0.625485132423858,0.2854990018843969,0.536899020484823,15.6,3.3322000000000003
MW1,gini,0.3283682983682984,0.748,0.30414540897698783,0.2549508202140747,0.5596989893447042,10.4,5.9426000000000005
MW1,mutual_info,0.41666666666666663,0.7146666666666668,0.4032191557445858,0.35696652959286523,0.5953853790286661,9.8,5.3538
MW1,shap,0.43434343434343436,0.6995555555555556,0.4061337889163976,0.3773448499655105,0.6305935200294741,12.8,6.1822
MW1,variance,0.4513131313131312,0.7275555555555555,0.40339899179096567,0.3881276862459232,0.6558925580296785,10.2,5.232200000000001
PC1,gini,0.39780137873904015,0.8624443721370166,0.415783617442386,0.359742259024256,0.6230349406828776,8.4,5.8446
PC1,mutual_info,0.36195009857149074,0.8586130653659148,0.4327915979972971,0.3199447784250161,0.6070733977993068,8.2,5.0606
PC1,shap,0.40680824372759855,0.8639967246689493,0.4372285878491281,0.3663557000818622,0.6301181189527227,9.8,7.289199999999999
PC1,variance,0.34710517962130866,0.8542380653659146,0.43369317726570705,0.30287928740025694,0.5988134118165112,7.8,5.0176
PC3,gini,0.40483206007248046,0.8194724532224532,0.36945291486421766,0.3137258814133742,0.6541059949529313,6.4,9.2688
PC3,mutual_info,0.3559708916218608,0.8051543433065171,0.33523967896698714,0.2608308685486113,0.6023069162758162,8.2,8.285
PC3,shap,0.3876855878780695,0.8095875892615023,0.3289670968974359,0.293397146706609,0.6382039142928624,6.0,11.0152
PC3,variance,0.4065266324415259,0.8187612989243425,0.3503490514573516,0.32266578351357406,0.6448787247961286,11.2,8.0444
PC4,gini,0.6169920880632955,0.9198846727748953,0.6159514678293693,0.5534571438063607,0.7891850637199366,8.0,17.8852
PC4,mutual_info,0.610141488648338,0.9242813156430097,0.635625447499338,0.545103667884945,0.7871042488319306,9.2,16.541800000000002
PC4,shap,0.6108211834518363,0.9195324571955211,0.597946719603075,0.5466058316477338,0.7912449460576578,7.4,23.3562
PC4,variance,0.6247086091296618,0.9183306751966424,0.6135716912969497,0.5627483224951689,0.8003997635748947,8.4,16.6216
ant-1.7,gini,0.6042481136598783,0.8269478763292151,0.5891407647355206,0.48661109828180205,0.7428932838586881,11.4,6.9799999999999995
ant-1.7,mutual_info,0.5966607308806797,0.8269478763292151,0.5845940908856093,0.47641381582603426,0.7378492712566258,11.4,6.1632
ant-1.7,shap,0.6042481136598783,0.8269478763292151,0.5891407647355206,0.48661109828180205,0.7428932838586881,11.4,8.5762
ant-1.7,variance,0.6042481136598783,0.8269478763292151,0.5891407647355206,0.48661109828180205,0.7428932838586881,11.4,6.457599999999999
camel-1.6,gini,0.3647055173852519,0.7033173731391049,0.36904336665031046,0.21888271461269387,0.5512893240732917,9.0,9.657599999999999
camel-1.6,mutual_info,0.40339229390792636,0.7178074411096482,0.37083568757648033,0.2601480244564963,0.5878465076806065,11.0,9.1006
camel-1.6,shap,0.3776428141309098,0.7179712022326623,0.36115870649101534,0.2280595566516425,0.5648803807585023,9.4,13.393600000000001
camel-1.6,variance,0.39509965426907884,0.7286177224632233,0.38579584076212525,0.2686074647102439,0.567297201403435,13.6,9.4804
synapse-1.2,gini,0.6687377981495628,0.8206362937331795,0.7135416522859386,0.5007574285961376,0.7410029541368152,16.2,6.327
synapse-1.2,mutual_info,0.6643867243867244,0.821155324875048,0.714269903560573,0.4825710079210321,0.7415131256998252,15.8,5.054
synapse-1.2,shap,0.6687377981495628,0.8206362937331795,0.7135416522859386,0.5007574285961376,0.7410029541368152,16.2,6.5996
synapse-1.2,variance,0.659353633926689,0.8043733179546327,0.6922510314565654,0.48912024837719575,0.7338152977665068,14.2,5.2822000000000005
tomcat,gini,0.3617294345204233,0.7934904424574011,0.37229887282368257,0.2939278357526792,0.6482351996064366,4.8,7.1422
tomcat,mutual_info,0.35061832340931215,0.7863566844956177,0.36147182588043725,0.28012220910742436,0.6313858117138823,4.8,6.3602
tomcat,shap,0.3617294345204233,0.7934904424574011,0.37229887282368257,0.2939278357526792,0.6482351996064366,4.8,8.3348
tomcat,variance,0.34940620219719093,0.7800746332135663,0.3522900883633586,0.2786611811849194,0.6309459050606335,4.6,6.4074
xalan-2.4,gini,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099,11.4,10.482800000000001
xalan-2.4,mutual_info,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099,11.4,8.949000000000002
xalan-2.4,shap,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099,11.4,12.3094
xalan-2.4,variance,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099,11.4,8.973400000000002
