dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
ant-1.7,0,shap,7,12.401,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,gini,7,9.613,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,mutual_info,7,6.237,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,variance,7,7.797,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,1,shap,12,8.368,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,gini,12,6.278,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,mutual_info,12,6.092,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,variance,12,6.066,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,2,shap,12,7.429,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,gini,12,6.348,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,mutual_info,12,6.24,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,variance,12,6.159,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,3,shap,14,7.216,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,3,gini,14,6.271,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,3,mutual_info,14,6.039,0.5797101449275363,0.812957157784744,0.569467474294838,0.4541105259522238,0.7228181235327591,0.5555555555555556,0.6060606060606061,0.8620689655172413
ant-1.7,3,variance,14,5.999,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,4,shap,12,7.467,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,gini,12,6.39,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,mutual_info,12,6.208,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,variance,12,6.267,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
camel-1.6,0,shap,16,18.684,0.4657534246575342,0.77997227997228,0.4186778440945042,0.3412303104913123,0.6352162257843021,0.4722222222222222,0.4594594594594595,0.8782051282051282
camel-1.6,0,gini,16,12.741,0.410958904109589,0.7363998613998614,0.4027441204153846,0.2736495512046799,0.5923103923042384,0.4166666666666667,0.4054054054054054,0.8653846153846154
camel-1.6,0,mutual_info,16,9.337,0.4473684210526316,0.7456687456687457,0.3762397051719634,0.3121689343981713,0.628222806545492,0.4358974358974359,0.4594594594594595,0.8589743589743589
camel-1.6,0,variance,14,9.609,0.3947368421052631,0.7233194733194734,0.3364378964385813,0.2466100613417544,0.5856921913730309,0.3846153846153846,0.4054054054054054,0.8461538461538461
camel-1.6,1,shap,3,11.028,0.2921348314606741,0.6543659043659042,0.2512593072110012,0.089925213320844,0.51333567333034,0.25,0.3513513513513513,0.75
camel-1.6,1,gini,12,9.234,0.3692307692307692,0.7271309771309771,0.3885035765208761,0.2478710580928347,0.5395000380540219,0.4285714285714285,0.3243243243243243,0.8974358974358975
camel-1.6,1,mutual_info,8,8.905,0.3823529411764705,0.7071205821205822,0.3355423699300944,0.2529738277849008,0.5575040903982775,0.4193548387096774,0.3513513513513513,0.8846153846153846
camel-1.6,1,variance,8,8.79,0.3823529411764705,0.7071205821205822,0.3355423699300944,0.2529738277849008,0.5575040903982775,0.4193548387096774,0.3513513513513513,0.8846153846153846
camel-1.6,2,shap,12,12.158,0.4444444444444444,0.7109507640067912,0.3694675308125178,0.2985247328047197,0.6303043165084371,0.4186046511627907,0.4736842105263157,0.8387096774193549
