dataset,config,F1,AUC,MCC,Gmean
CM1,ABF,0.2361773347980244,0.7016816479400749,0.13653872047892182,0.5147123537635307
CM1,ABF_Hybrid,0.2841171830071505,0.6989528367318629,0.20579446822973493,0.6554214678006288
CM1,BalancedRF,0.29444625076204023,0.7075121376057706,0.20987392632302043,0.6502779448890511
CM1,C_Reference,0.24735778841041994,0.707568733527535,0.15706357722974493,0.5034500749442048
CM1,EasyEnsemble,0.286886405419352,0.7160552087668193,0.2257848707299027,0.6750595135183354
JM1,ABF,0.45534005330060195,0.7515492712416767,0.31378221637647113,0.642571263281709
JM1,ABF_Hybrid,0.45676270115254747,0.7489365314059881,0.30027264204840415,0.6741791601690046
JM1,BalancedRF,0.4663487316837175,0.7512944078318242,0.31658326068322423,0.6721727837792417
JM1,C_Reference,0.4255332756331627,0.7503089556069067,0.3030178936311062,0.5921219810894599
JM1,EasyEnsemble,0.43178134151294534,0.7232821262076061,0.2639997986127042,0.6552648734276401
KC1,ABF,0.4661955034399342,0.8056737182183316,0.3564140897414911,0.6897034454744364
KC1,ABF_Hybrid,0.44131922663849865,0.8027453808584013,0.3283743184294815,0.7114987050486501
KC1,BalancedRF,0.45862779271932375,0.8054980985086735,0.3486672190414382,0.7171765126009024
KC1,C_Reference,0.4334290556623498,0.7962820342248631,0.3235475098325206,0.6356341548002835
KC1,EasyEnsemble,0.4296438153450263,0.7952753607925451,0.3300640050393498,0.7190189879601704
KC2,ABF,0.5269604499624784,0.7768111406665623,0.4000651975821488,0.6982897129207423
KC2,ABF_Hybrid,0.5528327924960658,0.7772153549261983,0.4254870036889411,0.7412293542966757
KC2,BalancedRF,0.571004059521562,0.7883012569759558,0.4501142156329584,0.7537769014537365
KC2,C_Reference,0.5684458398744112,0.7821624158973556,0.45990475021803345,0.7201068157540417
KC2,EasyEnsemble,0.5759656997387285,0.814551713346894,0.45993633792317895,0.7641915171905038
MC2,ABF,0.5938086749851456,0.7716145833333333,0.35636596069894333,0.6733904373966393
MC2,ABF_Hybrid,0.5938086749851456,0.7716145833333333,0.35636596069894333,0.6733904373966393
MC2,BalancedRF,0.596890756302521,0.7467013888888889,0.4121527634273051,0.6784246105220488
MC2,C_Reference,0.49041230527298635,0.7539930555555555,0.31616684362874603,0.5545883696790002
MC2,EasyEnsemble,0.5676441102756892,0.7095486111111111,0.32484365951116867,0.6460207285256763
MW1,ABF,0.3678787878787878,0.6986666666666667,0.29155305938492815,0.5966118909987564
MW1,ABF_Hybrid,0.362931488801054,0.7226666666666667,0.2882808990713879,0.6859237870760733
MW1,BalancedRF,0.4386940836940837,0.7457777777777779,0.3812491267447091,0.7367247732213046
MW1,C_Reference,0.43434343434343436,0.6995555555555556,0.3773448499655105,0.6305935200294741
MW1,EasyEnsemble,0.3488047138047138,0.7564444444444444,0.30048427097355834,0.7264128248382059
PC1,ABF,0.38334849449876984,0.8634372996888826,0.34222262689788396,0.6243703088678987
