dataset,fold,config,F1,AUC,MCC,Gmean
ant-1.7,0,C_Reference,0.6756756756756757,0.857105538140021,0.5761358686190597,0.8081352297940448
ant-1.7,0,BalancedRF,0.5813953488372093,0.8561912225705329,0.4477415768059644,0.7580980435789034
ant-1.7,0,EasyEnsemble,0.5454545454545454,0.8432601880877743,0.4029019710164112,0.7369555266607762
ant-1.7,0,ABF,0.5747126436781609,0.8457419017763845,0.438458156458348,0.753778361444409
ant-1.7,0,ABF_Hybrid,0.5591397849462365,0.8482236154649948,0.4189125598624084,0.7462900229321766
ant-1.7,1,C_Reference,0.5882352941176471,0.7910135841170325,0.4669715867637741,0.7264232238196224
ant-1.7,1,BalancedRF,0.64,0.8100835945663533,0.5280093538285007,0.783849515338196
ant-1.7,1,EasyEnsemble,0.5842696629213483,0.8260188087774295,0.4537514111561095,0.7642754950885803
ant-1.7,1,ABF,0.5789473684210527,0.7970219435736677,0.4450473965138051,0.7389025723965594
ant-1.7,1,ABF_Hybrid,0.5714285714285714,0.8048589341692789,0.4327793432412476,0.7469897793193181
ant-1.7,2,C_Reference,0.5396825396825397,0.8295454545454545,0.4173936651803483,0.6763275964825369
ant-1.7,2,BalancedRF,0.5797101449275363,0.8415621734587252,0.4541105259522238,0.7228181235327591
ant-1.7,2,EasyEnsemble,0.5925925925925926,0.8113897596656218,0.4624045128645369,0.7594751528766367
ant-1.7,2,ABF,0.5294117647058824,0.8356844305120167,0.3907208838291962,0.682288239221013
ant-1.7,2,ABF_Hybrid,0.5714285714285714,0.8365987460815048,0.4342040008972549,0.7350033231608352
ant-1.7,3,C_Reference,0.6176470588235294,0.812957157784744,0.505096938231063,0.7480381865430706
ant-1.7,3,BalancedRF,0.5915492957746479,0.8181818181818183,0.4666185715131639,0.7369555266607762
ant-1.7,3,EasyEnsemble,0.6052631578947368,0.7912748171368862,0.4807182206561165,0.7594751528766367
ant-1.7,3,ABF,0.6301369863013698,0.8125653082549634,0.5157453564023436,0.7712506636670704
ant-1.7,3,ABF_Hybrid,0.5974025974025974,0.8248432601880877,0.4696346669069434,0.755509198077929
ant-1.7,4,C_Reference,0.6,0.8441176470588235,0.4674574326147652,0.755542182654166
ant-1.7,4,BalancedRF,0.5853658536585366,0.84616368286445,0.4465052568190781,0.7473739190900772
ant-1.7,4,EasyEnsemble,0.631578947368421,0.8588235294117648,0.5229885507856195,0.802808369894322
ant-1.7,4,ABF,0.611764705882353,0.8333759590792837,0.4840912900859135,0.7736055022721723
ant-1.7,4,ABF_Hybrid,0.6304347826086957,0.8271099744245524,0.5170826253272895,0.7986561603118654
camel-1.6,0,C_Reference,0.4657534246575342,0.77997227997228,0.3412303104913123,0.6352162257843021
camel-1.6,0,BalancedRF,0.4489795918367347,0.7487872487872488,0.2917559614886455,0.6677918432759912
camel-1.6,0,EasyEnsemble,0.4461538461538462,0.7397782397782398,0.2942687341264961,0.6798760638759554
camel-1.6,0,ABF,0.4827586206896552,0.762993762993763,0.3429243428291395,0.679748638879264
camel-1.6,0,ABF_Hybrid,0.4642857142857143,0.7747747747747749,0.3138300146027292,0.6942492218086974
camel-1.6,1,C_Reference,0.2921348314606741,0.6543659043659042,0.089925213320844,0.51333567333034
camel-1.6,1,BalancedRF,0.3265306122448979,0.6444040194040195,0.1218950246340193,0.5547001962252291
camel-1.6,1,EasyEnsemble,0.4,0.6840783090783091,0.2152420193494825,0.6331673561554646
camel-1.6,1,ABF,0.392156862745098,0.6679660429660429,0.2099607758769354,0.6201736729460423
camel-1.6,1,ABF_Hybrid,0.3865546218487395,0.6618156618156619,0.1938406009061988,0.6217082406733375
camel-1.6,2,C_Reference,0.4444444444444444,0.7109507640067912,0.2985247328047197,0.6303043165084371
camel-1.6,2,BalancedRF,0.4571428571428571,0.7286926994906622,0.295824393493756,0.6755492012131775
camel-1.6,2,EasyEnsemble,0.4666666666666667,0.7292020373514431,0.3124855627379616,0.6929183382113231
camel-1.6,2,ABF,0.4666666666666667,0.7142614601018675,0.3160586065181345,0.6649099662043687
camel-1.6,2,ABF_Hybrid,0.4912280701754385,0.7234295415959253,0.3476588284726774,0.7132031573354655
camel-1.6,3,C_Reference,0.3174603174603174,0.75169779286927,0.1970351836871768,0.4875356414640809
camel-1.6,3,BalancedRF,0.3809523809523809,0.730899830220713,0.2123291238808057,0.582716546748065
camel-1.6,3,EasyEnsemble,0.4137931034482758,0.6914261460101867,0.2294785924469534,0.6415177250170377
camel-1.6,3,ABF,0.4102564102564102,0.7567911714770799,0.2611636321074488,0.5965378323283288
camel-1.6,3,ABF_Hybrid,0.4,0.7415110356536503,0.2174496416432034,0.6194361859425137
camel-1.6,4,C_Reference,0.3684210526315789,0.6928692699490662,0.2135823429541596,0.5580100467053516
camel-1.6,4,BalancedRF,0.34,0.6994057724957555,0.1337373128457202,0.563460084259285
camel-1.6,4,EasyEnsemble,0.396551724137931,0.6894736842105262,0.2029262133448778,0.6248938789363265
camel-1.6,4,ABF,0.3863636363636363,0.717911714770798,0.2128055794246527,0.5933988886799397
camel-1.6,4,ABF_Hybrid,0.3963963963963964,0.7207130730050934,0.2049264937947212,0.6232615891332983
CM1,0,C_Reference,0.2105263157894736,0.7044444444444444,0.1281237022660122,0.4294699575575042
CM1,0,BalancedRF,0.2631578947368421,0.6744444444444444,0.1633263145020371,0.6101001739241042
CM1,0,EasyEnsemble,0.2439024390243902,0.658888888888889,0.1369389375203966,0.5962847939999439
CM1,0,ABF,0.1538461538461538,0.6694444444444444,0.0363696483726653,0.4109609335312651
CM1,0,ABF_Hybrid,0.2631578947368421,0.6705555555555556,0.1633263145020371,0.6101001739241042
CM1,1,C_Reference,0.4,0.8233333333333333,0.3333333333333333,0.6110100926607787
CM1,1,BalancedRF,0.45,0.8783333333333333,0.4364357804719848,0.8306623862918076
CM1,1,EasyEnsemble,0.3703703703703703,0.8844444444444445,0.3760507165451774,0.7888106377466155
CM1,1,ABF,0.3,0.8222222222222222,0.2222222222222222,0.5259911279353167
CM1,1,ABF_Hybrid,0.3255813953488372,0.8283333333333333,0.2622926362031199,0.7055336829505575
CM1,2,C_Reference,0.2777777777777778,0.7405555555555555,0.1823843010350212,0.6191391873668903
