dataset,spearman_rho,top_half_overlap,n_features
CM1,0.9357142857142857,0.95,4.2
KC1,0.9057142857142859,0.8666666666666666,6.8
KC2,0.9571428571428571,0.95,4.8
MC2,0.6835243652116717,0.8103174603174603,15.6
MW1,0.7034837092731829,0.7533333333333333,12.8
PC1,0.8017482517482517,0.7980952380952381,9.8
PC3,0.9012087912087912,0.95,6.0
PC4,0.9075324675324674,0.9,7.4
ant-1.7,0.8725074925074926,0.8547619047619047,11.4
camel-1.6,0.5352079293255765,0.7116666666666667,9.4
synapse-1.2,0.8410754261218658,0.8103174603174603,16.2
tomcat,0.8295238095238096,1.0,4.8
xalan-2.4,0.8709501695415008,0.8905555555555555,11.4
