dataset,fold,n_features,spearman_rho,top_half_overlap
ant-1.7,0,7,0.9285714285714288,0.75
ant-1.7,1,12,0.9090909090909092,1.0
ant-1.7,2,12,0.8741258741258742,0.8333333333333334
ant-1.7,3,14,0.7626373626373627,0.8571428571428571
ant-1.7,4,12,0.8881118881118882,0.8333333333333334
camel-1.6,0,16,0.6588235294117648,0.625
camel-1.6,1,3,0.5,1.0
camel-1.6,2,12,0.3986013986013986,0.6666666666666666
camel-1.6,3,6,0.5428571428571429,0.6666666666666666
camel-1.6,4,10,0.5757575757575757,0.6
CM1,0,3,1.0,1.0
CM1,1,7,0.6785714285714287,0.75
CM1,2,3,1.0,1.0
CM1,3,5,1.0,1.0
CM1,4,3,1.0,1.0
KC1,0,6,0.942857142857143,1.0
KC1,1,8,0.9761904761904764,1.0
KC1,2,6,0.8285714285714287,0.6666666666666666
KC1,3,8,0.9523809523809524,1.0
KC1,4,6,0.8285714285714287,0.6666666666666666
KC2,0,5,1.0,1.0
KC2,1,5,1.0,1.0
KC2,2,3,1.0,1.0
KC2,3,3,1.0,1.0
KC2,4,8,0.7857142857142858,0.75
MC2,0,13,0.8571428571428571,1.0
MC2,1,17,0.6200980392156864,0.6666666666666666
MC2,2,14,0.8725274725274725,0.8571428571428571
MC2,3,16,0.3382352941176471,0.75
MC2,4,18,0.7296181630546955,0.7777777777777778
MW1,0,11,0.6000000000000001,0.6666666666666666
MW1,1,7,0.5357142857142858,0.75
MW1,2,19,0.856140350877193,0.8
MW1,3,7,0.642857142857143,0.75
MW1,4,20,0.882706766917293,0.8
PC1,0,9,0.8833333333333333,1.0
PC1,1,6,0.7142857142857143,0.6666666666666666
PC1,2,9,0.8666666666666667,0.8
PC1,3,12,0.7202797202797203,0.6666666666666666
PC1,4,13,0.8241758241758241,0.8571428571428571
PC3,0,13,0.8131868131868131,1.0
PC3,1,3,1.0,1.0
PC3,2,4,0.7999999999999999,1.0
PC3,3,3,1.0,1.0
PC3,4,7,0.8928571428571429,0.75
PC4,0,10,0.9757575757575756,1.0
PC4,1,5,0.7999999999999999,1.0
PC4,2,6,1.0,1.0
PC4,3,8,0.8571428571428572,0.75
PC4,4,8,0.9047619047619048,0.75
synapse-1.2,0,18,0.8328173374613003,0.8888888888888888
synapse-1.2,1,16,0.8147058823529412,0.75
synapse-1.2,2,13,0.7637362637362637,0.8571428571428571
synapse-1.2,3,17,0.948529411764706,0.7777777777777778
synapse-1.2,4,17,0.8455882352941178,0.7777777777777778
tomcat,0,6,0.942857142857143,1.0
tomcat,1,3,1.0,1.0
tomcat,2,8,0.9047619047619048,1.0
tomcat,3,3,0.5,1.0
tomcat,4,4,0.7999999999999999,1.0
xalan-2.4,0,15,0.8428571428571429,0.875
xalan-2.4,1,19,0.8280701754385964,0.8
xalan-2.4,2,3,1.0,1.0
xalan-2.4,3,17,0.6838235294117648,0.7777777777777778
xalan-2.4,4,3,1.0,1.0
