dataset,config,F1,AUC,MCC,Gmean
CM1,ADASYN,0.30044699872286074,0.7162846441947566,0.21164789229498499,0.5769956939700382
CM1,BorderlineSMOTE,0.24442821694434597,0.7172942155638784,0.14763909303249143,0.5183485235112926
CM1,CostSensitive,0.2087700534759358,0.6854993757802748,0.1174300801407621,0.433651066739829
CM1,FIB_Adaptive,0.24392564483308582,0.7072292967124427,0.15552065940300364,0.4932075293120407
CM1,FIB_Borderline,0.25648704834185776,0.7121622971285893,0.16860948127977995,0.5113860965567177
CM1,FIB_Full,0.24735778841041994,0.707568733527535,0.15706357722974493,0.5034500749442048
CM1,FIB_ShapOnly,0.22944073105363424,0.6978010819808572,0.1292580412450459,0.5208067754133333
CM1,NoResample,0.02222222222222222,0.6944408378415869,-0.020462687880566398,0.06073622386096198
CM1,SMOTE,0.270019422019422,0.7159651824108753,0.17833886258064707,0.5008739998641352
CM1,SMOTETomek,0.3079259716740975,0.717270911360799,0.22266140318248517,0.6133466020902866
JM1,ADASYN,0.42518352051584996,0.7510112583925678,0.3021346155486888,0.5920476331085591
JM1,BorderlineSMOTE,0.4254917720779024,0.7484353595283455,0.30386289238392905,0.5911310688020166
JM1,CostSensitive,0.43038756182194354,0.7415593989331392,0.29431657471698675,0.6087754961297722
JM1,FIB_Adaptive,0.4274522843035739,0.7510054911758596,0.3065853535170871,0.5924350848092985
JM1,FIB_Borderline,0.42535662896373944,0.7505011016779475,0.30523098252940456,0.5899125194362439
JM1,FIB_Full,0.4255332756331627,0.7503089556069067,0.3030178936311062,0.5921219810894599
JM1,FIB_ShapOnly,0.4307811875453864,0.7480140751839275,0.3122133100277852,0.5937683578275907
JM1,NoResample,0.32495851453038405,0.7469764088990429,0.2733510931085125,0.46758850771561083
JM1,SMOTE,0.41905506632698514,0.7495595211568147,0.2971268336900773,0.5853638186729275
JM1,SMOTETomek,0.42325336878018244,0.7501933894750632,0.29957602115835014,0.5907589943014306
KC1,ADASYN,0.4411095883907524,0.8008263717996037,0.33004887809289224,0.6491096789185168
KC1,BorderlineSMOTE,0.4623998864619295,0.7966216356897123,0.35699992903534206,0.6627284812020748
KC1,CostSensitive,0.44716151587348685,0.784280085413595,0.33376303855696465,0.6647326900931352
KC1,FIB_Adaptive,0.44108103992996084,0.7977285371601301,0.33371277226572776,0.6405169513436348
KC1,FIB_Borderline,0.44003646654809436,0.7964179227910225,0.33516856818206386,0.6335110658664354
KC1,FIB_Full,0.4334290556623498,0.7962820342248631,0.3235475098325206,0.6356341548002835
KC1,FIB_ShapOnly,0.4438689881547024,0.8029124086972732,0.33648884967272635,0.6452404364196073
KC1,NoResample,0.39254529814352146,0.8045046064312423,0.32495925680992216,0.5462756331953151
KC1,SMOTE,0.4366034993664276,0.8030145361358183,0.32611583138646383,0.64199187464089
KC1,SMOTETomek,0.44638717759042434,0.802418137601548,0.33727277518398235,0.6509025849657274
KC2,ADASYN,0.5415192253086722,0.7779142544202785,0.419038016551401,0.7016446813882654
KC2,BorderlineSMOTE,0.5436741088915001,0.7814374380639441,0.4289477947686461,0.6994140380511813
KC2,CostSensitive,0.5213660517828645,0.7698743024044228,0.3912246412356782,0.6926512976484938
KC2,FIB_Adaptive,0.5486582762757856,0.779950972722057,0.43763989507051015,0.6995921729013008
KC2,FIB_Borderline,0.55856165431613,0.7909795024252855,0.45174283549890404,0.7037180588173044
KC2,FIB_Full,0.5684458398744112,0.7821624158973556,0.45990475021803345,0.7201068157540417
KC2,FIB_ShapOnly,0.5566803796617461,0.7796510718197465,0.44340798422328576,0.7118839446421263
KC2,NoResample,0.5245038606092056,0.7806159703750065,0.4366090454086417,0.6494879848878812
KC2,SMOTE,0.5284027915768392,0.7810958118187032,0.41288734165712543,0.6869102908395065
KC2,SMOTETomek,0.5474871794871795,0.7829369425754968,0.43075964348570367,0.7033790019047764
MC2,ADASYN,0.46301046734483264,0.7644965277777778,0.2804888405142706,0.5317066582599067
MC2,BorderlineSMOTE,0.4621959310039806,0.7792534722222222,0.26014937136706096,0.5290767301238124
MC2,CostSensitive,0.5114396284829722,0.7502604166666667,0.31693199123582666,0.6062544651725974
MC2,FIB_Adaptive,0.5307017543859649,0.7527777777777778,0.3675904907304747,0.5881012074103525
MC2,FIB_Borderline,0.4621959310039806,0.745920138888889,0.27376333642874034,0.5290767301238124
MC2,FIB_Full,0.49041230527298635,0.7539930555555555,0.31616684362874603,0.5545883696790002
MC2,FIB_ShapOnly,0.5147360379558522,0.7753472222222222,0.34178691537783,0.6077483878602343
MC2,NoResample,0.4963183874948581,0.7612847222222222,0.3434242343081009,0.5926893496764938
MC2,SMOTE,0.5442343604108311,0.7505208333333333,0.343518973919553,0.6353135613399015
MC2,SMOTETomek,0.5407253427686864,0.7341145833333333,0.3365576818536193,0.6330960454405745
MW1,ADASYN,0.3434188034188034,0.6702222222222223,0.27161216870504873,0.5799080216025246
MW1,BorderlineSMOTE,0.457979797979798,0.728,0.3988221001140607,0.6655923992273374
MW1,CostSensitive,0.42626262626262623,0.7026666666666667,0.3631411446734121,0.6369582159926641
MW1,FIB_Adaptive,0.354040404040404,0.7337777777777778,0.28537982986028887,0.5647521642220712
