dataset,fold,config,F1,AUC,MCC,Gmean
ant-1.7,0,NoResample,0.6181818181818182,0.8531870428422152,0.5525339742626667,0.7021016368475079
ant-1.7,0,CostSensitive,0.6133333333333333,0.8473092998955069,0.4920854297552373,0.7634205048946655
ant-1.7,0,SMOTE,0.647887323943662,0.8533176593521421,0.5407798164789894,0.7790021213836117
ant-1.7,0,BorderlineSMOTE,0.6216216216216216,0.8406478578892372,0.5037545495429722,0.7673455719232771
ant-1.7,0,ADASYN,0.6329113924050633,0.8461337513061651,0.5182255730055915,0.787672788759749
ant-1.7,0,SMOTETomek,0.647887323943662,0.8589341692789969,0.5407798164789894,0.7790021213836117
ant-1.7,0,FIB_ShapOnly,0.6666666666666666,0.8696447230929989,0.5648474624251593,0.7957567719632627
ant-1.7,0,FIB_Borderline,0.6575342465753424,0.8602403343782653,0.552217144776311,0.7918075824648958
ant-1.7,0,FIB_Adaptive,0.6486486486486487,0.8477011494252873,0.539945209081016,0.7878385971583354
ant-1.7,0,FIB_Full,0.6756756756756757,0.857105538140021,0.5761358686190597,0.8081352297940448
ant-1.7,1,NoResample,0.4912280701754385,0.8018547544409613,0.3818455066436189,0.6226313527785964
ant-1.7,1,CostSensitive,0.6111111111111112,0.8053814002089865,0.4913111829132774,0.7542980294561157
ant-1.7,1,SMOTE,0.5555555555555556,0.7944096133751308,0.4177749034013956,0.7118932915235235
ant-1.7,1,BorderlineSMOTE,0.5833333333333334,0.8022466039707419,0.4545430431573365,0.7332240822960837
ant-1.7,1,ADASYN,0.6133333333333333,0.8070794148380356,0.4920854297552373,0.7634205048946655
ant-1.7,1,SMOTETomek,0.5915492957746479,0.8015935214211077,0.4666185715131639,0.7369555266607762
ant-1.7,1,FIB_ShapOnly,0.6111111111111112,0.7980668756530824,0.4913111829132774,0.7542980294561157
ant-1.7,1,FIB_Borderline,0.6376811594202898,0.7970219435736678,0.5296266736831182,0.7656414934887764
ant-1.7,1,FIB_Adaptive,0.5882352941176471,0.7948014629049112,0.4669715867637741,0.7264232238196224
ant-1.7,1,FIB_Full,0.5882352941176471,0.7910135841170325,0.4669715867637741,0.7264232238196224
ant-1.7,2,NoResample,0.4642857142857143,0.8379049111807733,0.3536797014761488,0.5999825842125851
ant-1.7,2,CostSensitive,0.5625,0.8318965517241379,0.4433416884113541,0.6959353553375324
ant-1.7,2,SMOTE,0.5625,0.8385579937304075,0.4433416884113541,0.6959353553375324
ant-1.7,2,BorderlineSMOTE,0.5230769230769231,0.836337513061651,0.3901455077863192,0.669729120681503
ant-1.7,2,ADASYN,0.53125,0.8405172413793104,0.4035237790844753,0.6730364450951615
ant-1.7,2,SMOTETomek,0.5079365079365079,0.8351619644723093,0.3770879904480917,0.6529412595335463
ant-1.7,2,FIB_ShapOnly,0.5625,0.8339864158829676,0.4433416884113541,0.6959353553375324
ant-1.7,2,FIB_Borderline,0.5483870967741935,0.8437826541274818,0.4317980001870843,0.6796028098097876
ant-1.7,2,FIB_Adaptive,0.5483870967741935,0.8364681295715779,0.4317980001870843,0.6796028098097876
ant-1.7,2,FIB_Full,0.5396825396825397,0.8295454545454545,0.4173936651803483,0.6763275964825369
ant-1.7,3,NoResample,0.576271186440678,0.8369905956112853,0.4787288683279545,0.689335087685153
ant-1.7,3,CostSensitive,0.5757575757575758,0.8243207941483803,0.455067920585162,0.711526241593723
ant-1.7,3,SMOTE,0.5846153846153846,0.8126959247648903,0.4688613922279732,0.7150056082673125
ant-1.7,3,BorderlineSMOTE,0.5882352941176471,0.8079937304075235,0.4669715867637741,0.7264232238196224
ant-1.7,3,ADASYN,0.6285714285714286,0.8235370950888192,0.5164620963955336,0.7618791046583063
ant-1.7,3,SMOTETomek,0.5538461538461539,0.7948014629049113,0.4295034500071462,0.692548788498984
ant-1.7,3,FIB_ShapOnly,0.6470588235294118,0.8113897596656218,0.543222289698352,0.7693854839990847
ant-1.7,3,FIB_Borderline,0.6060606060606061,0.8038140020898642,0.4939916405433647,0.7335802757017406
ant-1.7,3,FIB_Adaptive,0.5970149253731343,0.8098223615464994,0.480254415405721,0.7300105208156711
ant-1.7,3,FIB_Full,0.6176470588235294,0.812957157784744,0.505096938231063,0.7480381865430706
ant-1.7,4,NoResample,0.5588235294117647,0.8230179028132992,0.428388746803069,0.6970893083646579
ant-1.7,4,CostSensitive,0.5526315789473685,0.8326086956521738,0.4057881877900163,0.7105345417630048
ant-1.7,4,SMOTE,0.575,0.8329923273657289,0.4328395611139699,0.7356469741582815
ant-1.7,4,BorderlineSMOTE,0.5853658536585366,0.8267263427109974,0.4465052568190781,0.7473739190900772
ant-1.7,4,ADASYN,0.575,0.8265984654731455,0.4328395611139699,0.7356469741582815
ant-1.7,4,SMOTETomek,0.5641025641025641,0.8374680306905369,0.4192743875518712,0.723376566726489
ant-1.7,4,FIB_ShapOnly,0.56,0.8104859335038364,0.4169723855732326,0.7143039822289479
ant-1.7,4,FIB_Borderline,0.5526315789473685,0.8290281329923274,0.4057881877900163,0.7105345417630048
ant-1.7,4,FIB_Adaptive,0.5526315789473685,0.829923273657289,0.4057881877900163,0.7105345417630048
ant-1.7,4,FIB_Full,0.6,0.8441176470588235,0.4674574326147652,0.755542182654166
camel-1.6,0,NoResample,0.2857142857142857,0.7306826056826057,0.1925224633828587,0.4482970008489918
camel-1.6,0,CostSensitive,0.45,0.7498267498267499,0.3086080863111421,0.6391587506433034
camel-1.6,0,SMOTE,0.4571428571428571,0.763860013860014,0.3381926739105753,0.6207321365197594
camel-1.6,0,BorderlineSMOTE,0.4324324324324324,0.7571898821898823,0.2978170478170478,0.6117355427146393
camel-1.6,0,ADASYN,0.4473684210526316,0.7562370062370064,0.3121689343981713,0.628222806545492
camel-1.6,0,SMOTETomek,0.4871794871794871,0.7706167706167707,0.3584772310766826,0.6641497881464249
camel-1.6,0,FIB_ShapOnly,0.4675324675324675,0.7713097713097713,0.3354951773537173,0.6464359348608475
camel-1.6,0,FIB_Borderline,0.4657534246575342,0.7707033957033957,0.3412303104913123,0.6352162257843021
camel-1.6,0,FIB_Adaptive,0.4054054054054054,0.7673250173250173,0.2643797643797644,0.5901125725087106
camel-1.6,0,FIB_Full,0.4657534246575342,0.77997227997228,0.3412303104913123,0.6352162257843021
camel-1.6,1,NoResample,0.0408163265306122,0.6285516285516286,-0.0708892937812599,0.1584969246429567
camel-1.6,1,CostSensitive,0.3037974683544304,0.6320166320166319,0.125944350560628,0.5118146753994672
camel-1.6,1,SMOTE,0.3294117647058823,0.6573977823977825,0.1460976417108997,0.5439772935622368
camel-1.6,1,BorderlineSMOTE,0.367816091954023,0.6670997920997921,0.192710093700624,0.5815361881984115
camel-1.6,1,ADASYN,0.2588235294117647,0.6463963963963965,0.054747172433782,0.4762189378683682
camel-1.6,1,SMOTETomek,0.2962962962962963,0.6396396396396397,0.1118422265945347,0.5077364058212271
camel-1.6,1,FIB_ShapOnly,0.3291139240506329,0.6427581427581428,0.1578436414506559,0.5348233690070359
camel-1.6,1,FIB_Borderline,0.3373493975903614,0.6318433818433818,0.1600660602175426,0.5484179982114926
camel-1.6,1,FIB_Adaptive,0.3373493975903614,0.6755024255024256,0.1600660602175426,0.5484179982114926
camel-1.6,1,FIB_Full,0.2921348314606741,0.6543659043659042,0.089925213320844,0.51333567333034
camel-1.6,2,NoResample,0.3103448275862069,0.7144312393887946,0.2164207346460173,0.4690777716513386
camel-1.6,2,CostSensitive,0.4146341463414634,0.7239388794567062,0.2589279448341822,0.6078155380978187
camel-1.6,2,SMOTE,0.4691358024691358,0.7306451612903226,0.329837381408693,0.650062031779499
camel-1.6,2,BorderlineSMOTE,0.4102564102564102,0.700679117147708,0.2611636321074488,0.5965378323283288
camel-1.6,2,ADASYN,0.3947368421052631,0.7123089983022072,0.2463497453310696,0.5797956434084771
camel-1.6,2,SMOTETomek,0.4358974358974359,0.7175721561969439,0.2933094108043478,0.6172395968051438
camel-1.6,2,FIB_ShapOnly,0.4615384615384615,0.7192699490662139,0.3254551895012468,0.637535577754862
camel-1.6,2,FIB_Borderline,0.4810126582278481,0.7207130730050934,0.3481009512003568,0.6550055404838314
camel-1.6,2,FIB_Adaptive,0.4102564102564102,0.7159592529711375,0.2611636321074488,0.5965378323283288
camel-1.6,2,FIB_Full,0.4444444444444444,0.7109507640067912,0.2985247328047197,0.6303043165084371
camel-1.6,3,NoResample,0.2083333333333333,0.7026315789473684,0.1781856287382555,0.3568395510523549
camel-1.6,3,CostSensitive,0.3661971830985915,0.71553480475382,0.2250448698493048,0.545859550211294
camel-1.6,3,SMOTE,0.3880597014925373,0.7600169779286927,0.2658370611077347,0.5538873274205502
camel-1.6,3,BorderlineSMOTE,0.375,0.7522920203735145,0.2626004815058722,0.5359725305278951
camel-1.6,3,ADASYN,0.3235294117647059,0.7274193548387097,0.1831645574040967,0.5039740204046081
camel-1.6,3,SMOTETomek,0.4545454545454545,0.7640067911714771,0.3510020954166104,0.6013567004320307
camel-1.6,3,FIB_ShapOnly,0.3768115942028985,0.7449915110356536,0.244727094377301,0.5498880886298393
camel-1.6,3,FIB_Borderline,0.3174603174603174,0.7447368421052631,0.1970351836871768,0.4875356414640809
camel-1.6,3,FIB_Adaptive,0.303030303030303,0.7564516129032258,0.1660119140528589,0.4822837578542149
camel-1.6,3,FIB_Full,0.3174603174603174,0.75169779286927,0.1970351836871768,0.4875356414640809
camel-1.6,4,NoResample,0.2553191489361702,0.6813242784380306,0.2612777004662022,0.3934955014703717
camel-1.6,4,CostSensitive,0.3376623376623376,0.7134125636672326,0.1726712894857096,0.5335914768590017
camel-1.6,4,SMOTE,0.3888888888888889,0.7111205432937182,0.2498753667649886,0.5664652260218807
camel-1.6,4,BorderlineSMOTE,0.3943661971830985,0.7022920203735145,0.2596533637783215,0.5685593744799203
camel-1.6,4,ADASYN,0.3846153846153846,0.7093378607809847,0.2290178534105498,0.5753864870742448
camel-1.6,4,SMOTETomek,0.3421052631578947,0.7135823429541596,0.1808149405772496,0.535655668229714
camel-1.6,4,FIB_ShapOnly,0.3561643835616438,0.7067911714770797,0.206582530075125,0.5418010585969486
camel-1.6,4,FIB_Borderline,0.3714285714285714,0.719100169779287,0.234721542384084,0.5478775221588553
camel-1.6,4,FIB_Adaptive,0.3513513513513513,0.6921052631578948,0.1977547484243584,0.5397603693924956
camel-1.6,4,FIB_Full,0.3684210526315789,0.6928692699490662,0.2135823429541596,0.5580100467053516
CM1,0,NoResample,0.0,0.6666666666666667,0.0,0.0
CM1,0,CostSensitive,0.1,0.6861111111111111,0.0,0.3
CM1,0,SMOTE,0.24,0.6894444444444444,0.140028008402801,0.5099019513592785
CM1,0,BorderlineSMOTE,0.16,0.6638888888888889,0.0466760028009336,0.4136557881996952
CM1,0,ADASYN,0.25,0.7061111111111111,0.153704111387796,0.5131601439446883
CM1,0,SMOTETomek,0.2307692307692307,0.6972222222222222,0.1272937693043289,0.5066228051190221
CM1,0,FIB_ShapOnly,0.1666666666666666,0.6727777777777777,0.0576390417704235,0.4163331998932265
