config,F1,AUC,MCC,Gmean
NoResample,0.3548657156292803,0.7866674706538682,0.29825612807657526,0.47509508389686367
CostSensitive,0.4478383044536174,0.7836430300714007,0.33696189543206595,0.6339052489453996
SMOTE,0.4553493169070251,0.7909505654493305,0.34769204449233937,0.647531588235319
BorderlineSMOTE,0.45470948956426066,0.7928302687102978,0.3463266844704567,0.6453932602949143
ADASYN,0.4525741199664041,0.7882933987173458,0.3437045177108057,0.6519759922589426
SMOTETomek,0.4548845376351217,0.789241446346267,0.34632685798134816,0.6534246237650502
FIB_ShapOnly,0.45305999101134636,0.7911688265102846,0.34692259375063356,0.6498221382375325
FIB_Borderline,0.4569455755507305,0.7939917684292433,0.3526044466905368,0.6380598963926895
FIB_Adaptive,0.4535170625379866,0.7930828703327953,0.34930438518997425,0.6372103781696292
FIB_Full,0.4605259268967415,0.7890467729275458,0.3551743271499098,0.6453529452936471
