,mean_abs_shap
LOC_CODE_AND_COMMENT,0.1629157278299384
PERCENT_COMMENTS,0.055715690411394375
CYCLOMATIC_DENSITY,0.05355315251426261
LOC_BLANK,0.05191709974371105
CONDITION_COUNT,0.046184191080749025
LOC_COMMENTS,0.03349209844696683
NORMALIZED_CYLOMATIC_COMPLEXITY,0.02574462110439588
EDGE_COUNT,0.01630981494566954
NUM_OPERANDS,0.01590793704360455
LOC_TOTAL,0.015051128319789166
HALSTEAD_PROG_TIME,0.014777682922769706
HALSTEAD_DIFFICULTY,0.014089475298029262
NUMBER_OF_LINES,0.01368310416721327
HALSTEAD_CONTENT,0.012635451927104963
