dataset,strategy,F1,AUC,PRAUC,MCC,Gmean,shap_seconds,stage1_seconds,pipeline_seconds
CM1,single_shap,0.2067819853514103,0.71675974476349,0.21192180589404502,0.11080282589154662,0.45038695675794893,0.4488,5.9994,6.3946000000000005
CM1,two_shap,0.24735778841041994,0.707568733527535,0.22026016571647977,0.15706357722974493,0.5034500749442048,1.0448,7.837000000000001,8.1954
KC1,single_shap,0.44583354796871577,0.7988220602926486,0.4290433981427576,0.3392554792428155,0.6436368375293509,10.9562,14.469399999999998,14.831399999999999
KC1,two_shap,0.4334290556623498,0.7962820342248631,0.4190743593650339,0.3235475098325206,0.6356341548002835,24.5954,28.593,28.958799999999997
KC2,single_shap,0.5472307692307693,0.7779664110989412,0.5336827410685255,0.4326929093066553,0.7022808090418085,0.7284,4.2616,4.6171999999999995
KC2,two_shap,0.5684458398744112,0.7821624158973556,0.5321828658559218,0.45990475021803345,0.7201068157540417,1.7643999999999997,5.3902,5.752
MC2,single_shap,0.5341520467836257,0.7532986111111111,0.6738181769593019,0.35763529780668657,0.623657964294765,0.0524,7.0316,7.367999999999999
MC2,two_shap,0.49041230527298635,0.7539930555555555,0.6785960891045975,0.31616684362874603,0.5545883696790002,0.1746,7.1370000000000005,7.887600000000001
MW1,single_shap,0.39333333333333337,0.6813333333333333,0.4010731339175275,0.3286848901229395,0.6006222507237071,0.0908,9.014,9.3888
MW1,two_shap,0.43434343434343436,0.6995555555555556,0.4061337889163976,0.3773448499655105,0.6305935200294741,0.277,9.7212,10.5004
PC1,single_shap,0.4157293591453639,0.8721740400700405,0.46082871446897017,0.3800538138907066,0.6390229183526637,2.0364,8.4866,9.0002
PC1,two_shap,0.40680824372759855,0.8639967246689493,0.4372285878491281,0.3663557000818622,0.6301181189527227,5.5134,12.136199999999999,12.6996
PC3,single_shap,0.4130884730884731,0.821722182048269,0.34677735951350436,0.3234242079292847,0.662842527252057,2.9064,14.2724,14.741399999999999
PC3,two_shap,0.3876855878780695,0.8095875892615023,0.3289670968974359,0.293397146706609,0.6382039142928624,6.6171999999999995,17.9098,18.375999999999998
PC4,single_shap,0.6004945939728549,0.9193091138679929,0.6193441297139739,0.5347823708758903,0.7860861912796429,2.443,11.376999999999999,11.6868
PC4,two_shap,0.6108211834518363,0.9195324571955211,0.597946719603075,0.5466058316477338,0.7912449460576578,5.5858,14.459200000000001,14.770600000000002
ant-1.7,single_shap,0.5937729137996428,0.8229385841838439,0.5912616896637203,0.47148645606674916,0.7381443356913475,1.0628,6.6158,6.896600000000001
ant-1.7,two_shap,0.6042481136598783,0.8269478763292151,0.5891407647355206,0.48661109828180205,0.7428932838586881,2.9905999999999997,8.9822,9.2622
camel-1.6,single_shap,0.3928024681266904,0.723644318865032,0.36710330340679354,0.2455352188200246,0.5812500479999647,3.2090000000000005,9.169599999999999,9.502600000000001
camel-1.6,two_shap,0.3776428141309098,0.7179712022326623,0.36115870649101534,0.2280595566516425,0.5648803807585023,7.7048000000000005,14.0656,14.7732
synapse-1.2,single_shap,0.6540614051263138,0.8324009996155326,0.7431202220238948,0.4902772087520404,0.7310792820918273,0.1416,4.3914,4.6457999999999995
synapse-1.2,two_shap,0.6687377981495628,0.8206362937331795,0.7135416522859386,0.5007574285961376,0.7410029541368152,0.4102,5.4748,6.0996
tomcat,single_shap,0.3652085665689443,0.7991428153410638,0.3797888699861709,0.29829176655905554,0.6576218352358156,0.784,7.426,7.7022
tomcat,two_shap,0.3617294345204233,0.7934904424574011,0.37229887282368257,0.2939278357526792,0.6482351996064366,1.7896,8.8214,9.097399999999999
xalan-2.4,single_shap,0.4656345088603153,0.8070808040420197,0.4407330317992274,0.3683008825991875,0.6664475218487758,0.8314,6.393,6.6908
xalan-2.4,two_shap,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099,2.1046,8.0878,8.7466
