dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
ant-1.7,0,two_shap,2.981,13.771,14.046,0.6756756756756757,0.857105538140021,0.7299604505578063,0.5761358686190597,0.8081352297940448,0.6097560975609756,0.7575757575757576,0.8620689655172413
ant-1.7,0,single_shap,1.072,9.731,9.986,0.6301369863013698,0.8465256008359457,0.7196365346479874,0.5157453564023436,0.7712506636670704,0.575,0.696969696969697,0.853448275862069
ant-1.7,1,two_shap,2.814,7.591,7.885,0.5882352941176471,0.7910135841170325,0.5692753705444505,0.4669715867637741,0.7264232238196224,0.5714285714285714,0.6060606060606061,0.8706896551724138
ant-1.7,1,single_shap,1.01,5.718,5.992,0.6301369863013698,0.7870950888192267,0.5400702377723678,0.5157453564023436,0.7712506636670704,0.575,0.696969696969697,0.853448275862069
ant-1.7,2,two_shap,2.969,8.238,8.537,0.5396825396825397,0.8295454545454545,0.5036752994874238,0.4173936651803483,0.6763275964825369,0.5666666666666667,0.5151515151515151,0.8879310344827587
ant-1.7,2,single_shap,1.101,5.933,6.228,0.5230769230769231,0.8347701149425287,0.5549141949001186,0.3901455077863192,0.669729120681503,0.53125,0.5151515151515151,0.8706896551724138
ant-1.7,3,two_shap,3.144,7.496,7.772,0.6176470588235294,0.812957157784744,0.5922008435443944,0.505096938231063,0.7480381865430706,0.6,0.6363636363636364,0.8793103448275862
ant-1.7,3,single_shap,1.065,5.549,5.827,0.5757575757575758,0.8053814002089864,0.5488525725095696,0.455067920585162,0.711526241593723,0.5757575757575758,0.5757575757575758,0.8793103448275862
ant-1.7,4,two_shap,3.045,7.815,8.071,0.6,0.8441176470588235,0.5505918595435279,0.4674574326147652,0.755542182654166,0.5217391304347826,0.7058823529411765,0.808695652173913
ant-1.7,4,single_shap,1.066,6.148,6.45,0.6097560975609756,0.840920716112532,0.5928349084885578,0.4807281391575774,0.7669649888473704,0.5208333333333334,0.7352941176470589,0.8
camel-1.6,0,two_shap,9.146,19.237,21.572,0.4657534246575342,0.77997227997228,0.4186778440945042,0.3412303104913123,0.6352162257843021,0.4722222222222222,0.4594594594594595,0.8782051282051282
camel-1.6,0,single_shap,3.206,11.55,12.022,0.3888888888888889,0.7626472626472627,0.4178191751490061,0.2490395773192365,0.572226203037599,0.4,0.3783783783783784,0.8653846153846154
camel-1.6,1,two_shap,6.059,12.594,12.89,0.2921348314606741,0.6543659043659042,0.2512593072110012,0.089925213320844,0.51333567333034,0.25,0.3513513513513513,0.75
camel-1.6,1,single_shap,3.388,9.693,9.983,0.3863636363636363,0.6807865557865558,0.3110382716539219,0.2156107212262447,0.5994337822652802,0.3333333333333333,0.4594594594594595,0.782051282051282
camel-1.6,2,two_shap,8.925,13.841,14.166,0.4444444444444444,0.7109507640067912,0.3694675308125178,0.2985247328047197,0.6303043165084371,0.4186046511627907,0.4736842105263157,0.8387096774193549
camel-1.6,2,single_shap,3.228,8.181,8.482,0.4337349397590361,0.7056027164685909,0.3399407255083281,0.2816461499040829,0.6254370288684515,0.4,0.4736842105263157,0.8258064516129032
camel-1.6,3,two_shap,6.943,12.271,12.541,0.3174603174603174,0.75169779286927,0.4074996271131172,0.1970351836871768,0.4875356414640809,0.4,0.2631578947368421,0.9032258064516128
camel-1.6,3,single_shap,3.156,8.604,8.912,0.3283582089552239,0.7568760611205434,0.3999997490153653,0.1929066378045467,0.5058234725662515,0.3793103448275862,0.2894736842105263,0.8838709677419355
camel-1.6,4,two_shap,7.451,12.385,12.697,0.3684210526315789,0.6928692699490662,0.3588892232239362,0.2135823429541596,0.5580100467053516,0.3684210526315789,0.3684210526315789,0.8451612903225807
camel-1.6,4,single_shap,3.067,7.82,8.114,0.4266666666666667,0.7123089983022072,0.3667185957073462,0.2884730078460123,0.6033297532622414,0.4324324324324324,0.4210526315789473,0.864516129032258
CM1,0,two_shap,0.573,9.711,9.954,0.2105263157894736,0.7044444444444444,0.2876822467295203,0.1281237022660122,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222224
CM1,0,single_shap,0.249,9.362,9.762,0.3,0.7127777777777777,0.2894042807841869,0.2222222222222222,0.5259911279353167,0.3,0.3,0.9222222222222224
CM1,1,two_shap,1.39,5.563,5.963,0.4,0.8233333333333333,0.302416640686479,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333332
CM1,1,single_shap,0.524,4.66,5.057,0.2222222222222222,0.8055555555555556,0.2589966665548061,0.1474419561548971,0.4320493798938573,0.25,0.2,0.9333333333333332
CM1,2,two_shap,1.068,7.818,8.193,0.2777777777777778,0.7405555555555555,0.1940085661138292,0.1823843010350212,0.6191391873668903,0.1923076923076923,0.5,0.7666666666666667
CM1,2,single_shap,0.498,5.439,5.804,0.2580645161290322,0.7155555555555555,0.1846815255099574,0.1554923951110748,0.5696002496878354,0.1904761904761904,0.4,0.8111111111111111
CM1,3,two_shap,1.126,7.304,7.699,0.1818181818181818,0.5858024691358024,0.1262302278394232,0.0851180386339726,0.4416579314300398,0.1538461538461538,0.2222222222222222,0.8777777777777778
CM1,3,single_shap,0.486,5.065,5.461,0.0869565217391304,0.6302469135802469,0.1406387218933073,-0.0275009549108463,0.3083208205669246,0.0714285714285714,0.1111111111111111,0.8555555555555555
CM1,4,two_shap,1.067,8.789,9.168,0.1666666666666666,0.6837078651685393,0.1909631472131472,0.0563585108803853,0.4159732057058105,0.1428571428571428,0.2,0.8651685393258427
CM1,4,single_shap,0.487,5.471,5.889,0.1666666666666666,0.7196629213483146,0.1858878347279675,0.0563585108803853,0.4159732057058105,0.1428571428571428,0.2,0.8651685393258427
KC1,0,two_shap,23.244,32.412,32.782,0.460431654676259,0.8248868778280543,0.4498465634002059,0.3556504541740143,0.6590820436573077,0.4324324324324324,0.4923076923076923,0.8823529411764706
