dataset,weight_mode,F1,AUC,PRAUC,MCC,Gmean
CM1,random,0.2152104792053641,0.6886175891247053,0.21638673657688065,0.11933952958952132,0.47127722058334554
CM1,shuffled,0.22410402858883133,0.7027162990706062,0.22444783131541596,0.13232234394280834,0.4793199642199303
CM1,true_shap,0.24735778841041994,0.707568733527535,0.22026016571647977,0.15706357722974493,0.5034500749442048
CM1,uniform,0.21846889952153106,0.7068861145789984,0.21931380963777083,0.12397457891340222,0.47468209956573926
KC1,random,0.44744466267462696,0.7994245487933525,0.4221295110421558,0.33745176988539444,0.6548138160277164
KC1,shuffled,0.4428784632008288,0.7953391021844426,0.4225299724544934,0.3322990889830263,0.6498803110269955
KC1,true_shap,0.4334290556623498,0.7962820342248631,0.4190743593650339,0.3235475098325206,0.6356341548002835
KC1,uniform,0.45649053146927476,0.7985753984944336,0.42880426102068653,0.3491721767301089,0.6594987286374129
KC2,random,0.5415511897729521,0.7818630365618318,0.5260457334754419,0.4255711369563695,0.6980600987841832
KC2,shuffled,0.5346792396144899,0.7758864027538726,0.5230679674102493,0.41593314074100596,0.6934628975718768
KC2,true_shap,0.5684458398744112,0.7821624158973556,0.5321828658559218,0.45990475021803345,0.7201068157540417
KC2,uniform,0.5721671310033447,0.7883925311636155,0.5270752809918103,0.46620586454771,0.7236457714742823
MC2,random,0.5012140604493546,0.7615624999999999,0.6905005679371622,0.3372933680472977,0.589463922361111
MC2,shuffled,0.51045266051458,0.7534722222222222,0.6862911274330881,0.33399080524769253,0.5904670676963661
MC2,true_shap,0.49041230527298635,0.7539930555555555,0.6785960891045975,0.31616684362874603,0.5545883696790002
MC2,uniform,0.5346969696969697,0.7603298611111111,0.669115766091834,0.37364938190261954,0.6264486374989153
MW1,random,0.40918903318903316,0.7137777777777778,0.405569465815813,0.34559317109457516,0.606220059859174
MW1,shuffled,0.39623554223554225,0.7150222222222222,0.4029352432382828,0.33424227388518507,0.5938514318797632
MW1,true_shap,0.43434343434343436,0.6995555555555556,0.4061337889163976,0.3773448499655105,0.6305935200294741
MW1,uniform,0.43512265512265513,0.7088888888888889,0.4368105461789672,0.37033124190905325,0.6596276858562662
PC1,random,0.3954798633268014,0.8654564005753326,0.4525323974664713,0.3578713004875569,0.6174251321479491
PC1,shuffled,0.37681958038793084,0.869394130200272,0.4525681332274738,0.33757823112768054,0.601410844804737
PC1,true_shap,0.40680824372759855,0.8639967246689493,0.4372285878491281,0.3663557000818622,0.6301181189527227
PC1,uniform,0.3823613244479282,0.8648147171020746,0.43875178675218135,0.3445359394267903,0.6099722232511182
PC3,random,0.3792402824989501,0.8160658727289162,0.3380836065087238,0.2813642709983275,0.6336028360399844
PC3,shuffled,0.39036911827661613,0.8176111814155291,0.35675688965472824,0.29643455114291095,0.6391445979263249
PC3,true_shap,0.3876855878780695,0.8095875892615023,0.3289670968974359,0.293397146706609,0.6382039142928624
PC3,uniform,0.3811200230155305,0.8151773931121757,0.3424975150141572,0.28456994497201243,0.6266300832556935
PC4,random,0.5915666723849737,0.9196859917692517,0.6125235475395401,0.5235374418999548,0.7727098312317684
PC4,shuffled,0.5995025120308499,0.9209518353610976,0.6154418373502542,0.5332469757052178,0.7799531034627927
PC4,true_shap,0.6108211834518363,0.9195324571955211,0.597946719603075,0.5466058316477338,0.7912449460576578
PC4,uniform,0.5933831841377815,0.9225725526690086,0.6354820035600501,0.5250600896755865,0.7795877822988441
ant-1.7,random,0.5882871805771415,0.8255821019971297,0.5779606015671722,0.4641740220997641,0.7335174000229763
ant-1.7,shuffled,0.5854319031337966,0.8243913524521161,0.5859654772002653,0.4607846397498533,0.7293998041323524
ant-1.7,true_shap,0.6042481136598783,0.8269478763292151,0.5891407647355206,0.48661109828180205,0.7428932838586881
ant-1.7,uniform,0.5895652551595327,0.8265465128398368,0.5797456218000534,0.4654393517700031,0.7343703568295639
camel-1.6,random,0.40430419964751474,0.7209616484709864,0.3730428307541983,0.25823020346100645,0.5906276257799683
camel-1.6,shuffled,0.38913106643524237,0.7163455649720506,0.36769097268747997,0.24201736056494277,0.5757850531759047
camel-1.6,true_shap,0.3776428141309098,0.7179712022326623,0.36115870649101534,0.2280595566516425,0.5648803807585023
camel-1.6,uniform,0.3905841926269687,0.7141756350839542,0.35794858304749166,0.24506222902254216,0.5760220709180587
synapse-1.2,random,0.6660526855768685,0.8356459054209919,0.7395799282789957,0.5060493495666895,0.7411711362597716
synapse-1.2,shuffled,0.6696808198102493,0.8315032679738561,0.7230629997947465,0.5080900893581296,0.7443655980599334
synapse-1.2,true_shap,0.6687377981495628,0.8206362937331795,0.7135416522859386,0.5007574285961376,0.7410029541368152
synapse-1.2,uniform,0.6576993830967081,0.8403210303729335,0.7454267504048065,0.49077119544933134,0.7369062244383512
tomcat,random,0.36665709964561166,0.7869602319124611,0.3465379769500528,0.2994181499743376,0.6573815054872734
tomcat,shuffled,0.3497785805642732,0.7924667884751484,0.3657823708304991,0.28069964546018444,0.6408055215464462
tomcat,true_shap,0.3617294345204233,0.7934904424574011,0.37229887282368257,0.2939278357526792,0.6482351996064366
tomcat,uniform,0.3737594666005179,0.7935992705100985,0.388409285338443,0.3073921406600056,0.6569639777341532
xalan-2.4,random,0.4372274314259516,0.7979567566912629,0.4120294071673879,0.32969759422115186,0.6489700862530396
xalan-2.4,shuffled,0.4300239178956919,0.7993491694231398,0.4101297877968225,0.3225084125432703,0.6388559804230466
xalan-2.4,true_shap,0.43016810183933785,0.8046214847394376,0.4263151381226623,0.31968055787460964,0.6418675201509099
xalan-2.4,uniform,0.4447007651189603,0.7946048853185999,0.42576413822033893,0.33777930975101506,0.6547362405443179
